File Name,File Path,File Size,Checksum
220131HM_P7_12_S97_2-P7C03N-CGATGT_R2_val_2_bismark_bt2_298.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_12_S97_2-P7C03N-CGATGT_R2_val_2_bismark_bt2_298.multiple.deduplicated.bam,6596600532,7aed936dcd0e4f1fb4b65d92acb1dae0
220131HM_P7_12_S97_3-P7D07N-TTAGGC_R1_val_1_bismark_bt2_305.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_12_S97_3-P7D07N-TTAGGC_R1_val_1_bismark_bt2_305.multiple.deduplicated.bam,3639443928,0d470d578c12d3996e042c9f48e12be3
220131HM_P7_12_S97_3-P7D07N-TTAGGC_R2_val_2_bismark_bt2_305.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_12_S97_3-P7D07N-TTAGGC_R2_val_2_bismark_bt2_305.multiple.deduplicated.bam,3686322901,d2aee2da58f5db355e742ebe351e5726
220131HM_P7_13_S98_1-P7D10N-ATCACG_R1_val_1_bismark_bt2_306.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_1-P7D10N-ATCACG_R1_val_1_bismark_bt2_306.multiple.deduplicated.bam,8229546391,234a635479a83c1d7f12f3119132e19f
220131HM_P7_13_S98_1-P7D10N-ATCACG_R2_val_2_bismark_bt2_306.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_1-P7D10N-ATCACG_R2_val_2_bismark_bt2_306.multiple.deduplicated.bam,8483939677,fb08144ea3f7501540ffcf850ad9d8e8
220131HM_P7_13_S98_2-P7D11N-CGATGT_R1_val_1_bismark_bt2_307.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_2-P7D11N-CGATGT_R1_val_1_bismark_bt2_307.multiple.deduplicated.bam,12726530748,8705699f6d2f1b00902905670c62be78
220131HM_P7_13_S98_2-P7D11N-CGATGT_R2_val_2_bismark_bt2_307.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_2-P7D11N-CGATGT_R2_val_2_bismark_bt2_307.multiple.deduplicated.bam,13103299338,98233be23b11ba3b32fbacc9eae43ef3
220131HM_P7_13_S98_3-P7E04N-TTAGGC_R1_val_1_bismark_bt2_310.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_3-P7E04N-TTAGGC_R1_val_1_bismark_bt2_310.multiple.deduplicated.bam,13633540453,ea098cc1cb400525b36502a1fc2922df
220131HM_P7_13_S98_3-P7E04N-TTAGGC_R2_val_2_bismark_bt2_310.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_3-P7E04N-TTAGGC_R2_val_2_bismark_bt2_310.multiple.deduplicated.bam,14160915033,fbe2388b985b703c9c864451922fda3d
220131HM_P7_13_S98_4-P7E05N-TGACCA_R1_val_1_bismark_bt2_311.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_4-P7E05N-TGACCA_R1_val_1_bismark_bt2_311.multiple.deduplicated.bam,2710911145,2383b8a051ee744baa8c1152a239262f
220131HM_P7_13_S98_4-P7E05N-TGACCA_R2_val_2_bismark_bt2_311.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_13_S98_4-P7E05N-TGACCA_R2_val_2_bismark_bt2_311.multiple.deduplicated.bam,2768847427,df87b6a0db3c812f5b761380a19680d2
220131HM_P7_14_S99_3-P7E11N-TTAGGC_R1_val_1_bismark_bt2_314.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_14_S99_3-P7E11N-TTAGGC_R1_val_1_bismark_bt2_314.multiple.deduplicated.bam,9506096251,1bd1b307961476375b98783a11d1547b
220131HM_P7_14_S99_3-P7E11N-TTAGGC_R2_val_2_bismark_bt2_314.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_14_S99_3-P7E11N-TTAGGC_R2_val_2_bismark_bt2_314.multiple.deduplicated.bam,9465021493,e00370ae8a2509fb9ba0002ffeec3bc2
220131HM_P7_14_S99_4-P7F04N-TGACCA_R1_val_1_bismark_bt2_319.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_14_S99_4-P7F04N-TGACCA_R1_val_1_bismark_bt2_319.multiple.deduplicated.bam,17489115036,9142a13461b2c6a64b8f3e6fa7119bbf
220131HM_P7_14_S99_4-P7F04N-TGACCA_R2_val_2_bismark_bt2_319.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_14_S99_4-P7F04N-TGACCA_R2_val_2_bismark_bt2_319.multiple.deduplicated.bam,17604618177,310ba1aaa768c9aad05301203887064d
220131HM_P7_15_S100_1-P7F09N-ATCACG_R1_val_1_bismark_bt2_320.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_15_S100_1-P7F09N-ATCACG_R1_val_1_bismark_bt2_320.multiple.deduplicated.bam,4667435456,82a6c37d5bf71fadfeabf4a80d5274f1
220131HM_P7_15_S100_1-P7F09N-ATCACG_R2_val_2_bismark_bt2_320.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_15_S100_1-P7F09N-ATCACG_R2_val_2_bismark_bt2_320.multiple.deduplicated.bam,4791541800,c84b7948e28d69baa7b7e9ab8e2376ae
220131HM_P7_15_S100_2-P7F11N-CGATGT_R1_val_1_bismark_bt2_322.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_15_S100_2-P7F11N-CGATGT_R1_val_1_bismark_bt2_322.multiple.deduplicated.bam,12561577058,02bbe124b33e1e02eb4febf3184daca8
220131HM_P7_15_S100_2-P7F11N-CGATGT_R2_val_2_bismark_bt2_322.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_15_S100_2-P7F11N-CGATGT_R2_val_2_bismark_bt2_322.multiple.deduplicated.bam,12831598747,65edd0ffd59fce63fbac51c40487fbd4
220131HM_P7_15_S100_3-P7G03N-TTAGGC_R1_val_1_bismark_bt2_325.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_15_S100_3-P7G03N-TTAGGC_R1_val_1_bismark_bt2_325.multiple.deduplicated.bam,8081799210,cb020b0430cb8e3113309919529e7c28
220131HM_P7_15_S100_3-P7G03N-TTAGGC_R2_val_2_bismark_bt2_325.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_15_S100_3-P7G03N-TTAGGC_R2_val_2_bismark_bt2_325.multiple.deduplicated.bam,8337524305,18d3a6a9ed5ca1b383c6db8c7e8924ba
